Key,Id,Shared Comment,Afrikaans(af),Afrikaans(af) Comments,Arabic(ar),Arabic(ar) Comments,Basque(eu),Basque(eu) Comments,Belarusian(be),Belarusian(be) Comments,Bulgarian(bg),Bulgarian(bg) Comments,Catalan(ca),Catalan(ca) Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,Chinese (Simplified)(zh-hans),Chinese (Simplified)(zh-hans) Comments,Chinese (Traditional)(zh-hant),Chinese (Traditional)(zh-hant) Comments,Croatian(hr),Croatian(hr) Comments,Czech(cs),Czech(cs) Comments,Danish(da),Danish(da) Comments,Dutch(nl),Dutch(nl) Comments,English(en),English(en) Comments,Estonian(et),Estonian(et) Comments,Faroese(fo),Faroese(fo) Comments,Finnish(fi),Finnish(fi) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments,Greek(el),Greek(el) Comments,Hebrew(he),Hebrew(he) Comments,Hungarian(hu),Hungarian(hu) Comments,Icelandic(is),Icelandic(is) Comments,Indonesian(id),Indonesian(id) Comments,Italian(it),Italian(it) Comments,Japanese(ja),Japanese(ja) Comments,Korean(ko),Korean(ko) Comments,Latvian(lv),Latvian(lv) Comments,Lithuanian(lt),Lithuanian(lt) Comments,Norwegian(no),Norwegian(no) Comments,Polish(pl),Polish(pl) Comments,Portuguese(pt),Portuguese(pt) Comments,Romanian(ro),Romanian(ro) Comments,Russian(ru),Russian(ru) Comments,Slovak(sk),Slovak(sk) Comments,Slovenian(sl),Slovenian(sl) Comments,Spanish(es),Spanish(es) Comments,Swedish(sv),Swedish(sv) Comments,Thai(th),Thai(th) Comments,Turkish(tr),Turkish(tr) Comments,Ukrainian(uk),Ukrainian(uk) Comments,Vietnamese(vi),Vietnamese(vi) Comments
"NotificationsDashboardTab",3034280099840,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Notifications","",,,,,,,,,"Mitteilungen","",,,,,,,,,,,"Notifiche","",,,,,,,,,,,,,"Notificações","",,,"Сообщения","",,,,,"Notificaciones","",,,,,,,"Повідомлення","",,
"HolocomDashboardTab",3105772011520,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Holocom","",,,,,,,,,"Holocom","",,,,,,,,,,,"Holocom","",,,,,,,,,,,,,"Holocom","",,,"Холоком","",,,,,"Holocom","",,,,,,,"Голоком","",,
"VRCaptureDashboardTab",3153649991680,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"VR Capture","",,,,,,,,,"VR-Aufnahme","",,,,,,,,,,,"Registrazione VR","",,,,,,,,,,,,,"Gravação de VR","",,,"Запись видео","",,,,,"Grabación de VR","",,,,,,,"Запис відео","",,
"GalleryDashboardTab",3185023385600,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallery","",,,,,,,,,"Galerie","",,,,,,,,,,,"Galleria","",,,,,,,,,,,,,"Galeria","",,,"Галерея","",,,,,"Galería","",,,,,,,"Галерея","",,
"MicIsOnButton",112966669172736,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mic is On","",,,,,,,,,"Mikro ist an","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Микрофон включен","",,,,,,,,,,,,,"Мікрофон увімкнено","",,
"MicIsOffButton",113168146759680,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mic is Off","",,,,,,,,,"Mikro ist aus","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Микрофон выключен","",,,,,,,,,,,,,"ікрофон вимкнено","",,
"StartRecordingButton",348604408528896,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Start","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Старт","",,,,,,,,,,,,,"Старт","",,
"SavingLabel",349268090028032,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saving...","",,,,,,,,,"Sparen...","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сохранение...","",,,,,,,,,,,,,"Збереження...","",,
"DataPrivacyButtonTooltip",353413563940864,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Check your browser","",,,,,,,,,"Prüfe deinen Browser","",,,,,,,,,,,"Controlla il browser","",,,,,,,,,,,,,"Verificar o navegador","",,,"Проверьте свой веб-браузер","",,,,,"Comprueba tu navegador","",,,,,,,"Перевірте веб-браузер","",,
"SavedLabel",353621903409152,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saved","",,,,,,,,,"Gerettet","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сохранено","",,,,,,,,,,,,,"Збережено","",,
